DATA ISCRIZIONE,DESCRIZIONE COMUNE PROVENIENZA,SIGLA PROVINCIA PROVENIENZA,STATO ESTERO DI PROVENIENZA
29/11/72,BRENNA,CO,
20/09/80,FOSSALTA DI PORTOGRUARO,VE,
11/08/61,SAN MICHELE AL TAGLIAMENTO,VE,
27/01/51,MORSANO AL TAGLIAMENTO,PN,
24/10/60,SAN MICHELE AL TAGLIAMENTO,VE,
28/12/57,CHARLEROI,,BELGIO
26/12/47,SAN MICHELE AL TAGLIAMENTO,VE,
01/10/71,JESI,AN,
14/08/76,LATISANA,UD,
19/05/09,CORDENONS,PN,
27/01/35,SAN MICHELE AL TAGLIAMENTO,VE,
01/06/61,LATISANA,UD,
21/05/62,LATISANA,UD,
31/01/65,LATISANA,UD,
23/05/98,LATISANA,UD,
08/05/46,SAN MICHELE AL TAGLIAMENTO,VE,
06/03/75,PORTOGRUARO,VE,
29/04/32,SAN MICHELE AL TAGLIAMENTO,VE,
06/03/29,SAN MICHELE AL TAGLIAMENTO,VE,
08/09/55,SAN MICHELE AL TAGLIAMENTO,VE,
21/09/62,SAN MICHELE AL TAGLIAMENTO,VE,
11/11/36,SAN MICHELE AL TAGLIAMENTO,VE,
04/05/59,SAN MICHELE AL TAGLIAMENTO,VE,
26/07/73,LATISANA,UD,
02/02/96,RONCHIS,UD,
14/09/50,SAN MICHELE AL TAGLIAMENTO,VE,
11/07/72,LATISANA,UD,
13/06/77,CONCORDIA SAGITTARIA,VE,
13/06/77,CONCORDIA SAGITTARIA,VE,
06/12/46,SAN MICHELE AL TAGLIAMENTO,VE,
03/05/78,LIGNANO SABBIADORO,UD,
19/06/27,SAN MICHELE AL TAGLIAMENTO,VE,
03/03/47,SAN MICHELE AL TAGLIAMENTO,VE,
03/04/71,SESTO AL REGHENA,PN,
27/10/44,FOSSALTA DI PORTOGRUARO,VE,
21/05/51,SAN MICHELE AL TAGLIAMENTO,VE,
30/08/60,SAN MICHELE AL TAGLIAMENTO,VE,
29/04/53,SAN MICHELE AL TAGLIAMENTO,VE,
23/10/79,LIGNANO SABBIADORO,UD,
23/10/10,PADOVA,PD,
01/07/67,MAGNANO IN RIVIERA,UD,
22/05/50,FOSSALTA DI PORTOGRUARO,VE,
11/07/53,BRUSASCO,TO,
21/06/60,SAN MICHELE AL TAGLIAMENTO,VE,
04/10/45,SAN MICHELE AL TAGLIAMENTO,VE,
03/12/47,SAN MICHELE AL TAGLIAMENTO,VE,
02/03/77,UDINE,UD,
26/07/60,SAN MICHELE AL TAGLIAMENTO,VE,
18/03/50,SAN MICHELE AL TAGLIAMENTO,VE,
12/11/76,LATISANA,UD,
14/12/46,BARCE,,LIBIA
08/04/49,SAN MICHELE AL TAGLIAMENTO,VE,
20/03/54,SAN MICHELE AL TAGLIAMENTO,VE,
11/04/57,SAN MICHELE AL TAGLIAMENTO,VE,
26/11/82,PORTOGRUARO,VE,
26/11/82,PORTOGRUARO,VE,
17/03/45,SAN MICHELE AL TAGLIAMENTO,VE,
30/09/64,SAN MICHELE AL TAGLIAMENTO,VE,
31/08/91,TORINO,TO,
03/05/56,LATISANA,UD,
09/08/70,LATISANA,UD,
31/10/33,SAN MICHELE AL TAGLIAMENTO,VE,
12/03/59,SAN MICHELE AL TAGLIAMENTO,VE,
19/10/45,SAN MICHELE AL TAGLIAMENTO,VE,
08/06/34,SAN MICHELE AL TAGLIAMENTO,VE,
05/07/34,SAN MICHELE AL TAGLIAMENTO,VE,
29/03/45,SAN MICHELE AL TAGLIAMENTO,VE,
01/12/70,PORTOGRUARO,VE,
28/05/71,LATISANA,UD,
31/07/76,CORDOVADO,PN,
31/07/76,CORDOVADO,PN,
10/01/69,SVIZZERA,,SVIZZERA
10/01/69,SVIZZERA,,SVIZZERA
29/12/69,PORTOGRUARO,VE,
21/05/62,SAN MICHELE AL TAGLIAMENTO,VE,
03/08/66,SAN MICHELE AL TAGLIAMENTO,VE,
14/07/73,SVIZZERA,,SVIZZERA
14/07/73,SVIZZERA,,SVIZZERA
14/07/73,SVIZZERA,,SVIZZERA
20/07/74,LATISANA,UD,
21/12/82,LATISANA,UD,
21/12/82,LATISANA,UD,
21/12/82,LATISANA,UD,
02/09/47,SAN MICHELE AL TAGLIAMENTO,VE,
14/12/73,CORDENONS,PN,
21/05/13,MILANO,MI,
19/10/36,SAN MICHELE AL TAGLIAMENTO,VE,
05/10/62,SAN MICHELE AL TAGLIAMENTO,VE,
08/06/91,MORSANO AL TAGLIAMENTO,PN,
23/10/20,LATISANA,UD,
10/07/64,UDINE,UD,
28/06/46,TEGLIO VENETO,VE,
30/11/50,SAN MICHELE AL TAGLIAMENTO,VE,
31/07/72,LATISANA,UD,
05/05/77,LATISANA,UD,
16/05/48,SAN MICHELE AL TAGLIAMENTO,VE,
29/04/74,BRUNICO,BZ,
29/07/20,LATISANA,UD,
19/02/47,SAN MICHELE AL TAGLIAMENTO,VE,
28/04/27,SAN MICHELE AL TAGLIAMENTO,VE,
20/05/74,BITTI,NU,
28/01/81,LATISANA,UD,
12/10/65,LATISANA,UD,
05/02/66,LATISANA,UD,
24/11/40,SAN MICHELE AL TAGLIAMENTO,VE,
31/08/68,SAN MICHELE AL TAGLIAMENTO,VE,
10/02/40,SAN MICHELE AL TAGLIAMENTO,VE,
27/04/66,SAN MICHELE AL TAGLIAMENTO,VE,
12/07/71,LATISANA,UD,
07/03/73,CODROIPO,UD,
15/03/76,SVIZZERA,,SVIZZERA
15/03/76,SVIZZERA,,SVIZZERA
02/02/91,PORTOGRUARO,VE,
01/04/58,SAN MICHELE AL TAGLIAMENTO,VE,
17/07/64,LATISANA,UD,
09/01/63,SVIZZERA,,SVIZZERA
27/04/29,CAORLE,VE,
16/02/93,PORTOGRUARO,VE,
16/06/52,SAN MICHELE AL TAGLIAMENTO,VE,
19/05/55,SAN MICHELE AL TAGLIAMENTO,VE,
23/03/79,LATISANA,UD,
03/06/38,CORREZZOLA,PD,
30/01/57,SAN MICHELE AL TAGLIAMENTO,VE,
23/01/97,SAN VITO AL TAGLIAMENTO,PN,
11/12/12,CONCORDIA SAGITTARIA,VE,
09/01/44,SAN MICHELE AL TAGLIAMENTO,VE,
31/10/49,SAN MICHELE AL TAGLIAMENTO,VE,
09/01/71,LATISANA,UD,
28/09/67,FRANCIA,,FRANCIA
24/06/64,LATISANA,UD,
23/01/81,SAN VITO AL TAGLIAMENTO,PN,
16/12/75,NUOVE EBRIDI,,REGNO UNITO
09/08/77,SAN GIORGIO DI NOGARO,UD,
04/12/80,LATISANA,UD,
03/06/60,SAN MICHELE AL TAGLIAMENTO,VE,
03/03/62,SAN VITO AL TAGLIAMENTO,PN,
28/08/63,LATISANA,UD,
10/08/83,VENEZIA,VE,
18/01/34,SAN MICHELE AL TAGLIAMENTO,VE,
10/03/34,SAN MICHELE AL TAGLIAMENTO,VE,
14/10/19,CORDOVADO,PN,
26/01/53,SAN MICHELE AL TAGLIAMENTO,VE,
06/08/79,PREPOTTO,UD,
20/10/52,CASARSA DELLA DELIZIA,PN,
27/01/54,SAN MICHELE AL TAGLIAMENTO,VE,
26/07/43,SAN MICHELE AL TAGLIAMENTO,VE,
08/09/46,SAN MICHELE AL TAGLIAMENTO,VE,
16/11/74,LATISANA,UD,
24/06/61,TEGLIO VENETO,VE,
18/05/83,TEGLIO VENETO,VE,
18/04/51,SAN MICHELE AL TAGLIAMENTO,VE,
28/09/72,CAMINO AL TAGLIAMENTO,UD,
27/06/35,SAN MICHELE AL TAGLIAMENTO,VE,
31/05/38,SAN MICHELE AL TAGLIAMENTO,VE,
16/09/65,SAN MICHELE AL TAGLIAMENTO,VE,
20/03/31,SAN MICHELE AL TAGLIAMENTO,VE,
09/06/75,MOGLIANO VENETO,TV,
05/08/65,LATISANA,UD,
02/03/52,SAN MICHELE AL TAGLIAMENTO,VE,
27/04/73,LATISANA,UD,
10/02/47,SAN MICHELE AL TAGLIAMENTO,VE,
16/11/74,MORSANO AL TAGLIAMENTO,PN,
04/09/33,SAN MICHELE AL TAGLIAMENTO,VE,
27/06/60,LATISANA,UD,
25/02/83,NIGERIA,,NIGERIA
21/07/48,SAN MICHELE AL TAGLIAMENTO,VE,
15/10/74,CAORLE,VE,
15/10/74,CAORLE,VE,
25/09/49,SAN MICHELE AL TAGLIAMENTO,VE,
12/06/71,LATISANA,UD,
10/07/06,LIGNANO SABBIADORO,UD,
13/09/73,LATISANA,UD,
15/03/54,PORTOGRUARO,VE,
27/03/56,SAN MICHELE AL TAGLIAMENTO,VE,
21/09/52,SAN MICHELE AL TAGLIAMENTO,VE,
19/01/77,PORTOGRUARO,VE,
21/08/82,LATISANA,UD,
09/04/44,SAN MICHELE AL TAGLIAMENTO,VE,
22/06/42,SAN MICHELE AL TAGLIAMENTO,VE,
02/01/63,SAN MICHELE AL TAGLIAMENTO,VE,
20/08/70,LATISANA,UD,
05/02/48,SAN MICHELE AL TAGLIAMENTO,VE,
06/07/38,SAN MICHELE AL TAGLIAMENTO,VE,
17/10/66,FOSSALTA DI PORTOGRUARO,VE,
03/01/08,UDINE,UD,
21/02/35,SAN MICHELE AL TAGLIAMENTO,VE,
14/09/62,PRECENICCO,UD,
23/09/56,SAN MICHELE AL TAGLIAMENTO,VE,
18/11/57,SAN MICHELE AL TAGLIAMENTO,VE,
28/01/76,LATISANA,UD,
01/03/75,LUCIGNANO,AR,
11/11/78,PONTE DI PIAVE,TV,
17/01/07,LATISANA,UD,
11/07/66,CASTEL VOLTURNO,CE,
21/07/67,SAN MICHELE AL TAGLIAMENTO,VE,
13/08/73,LATISANA,UD,
03/07/56,SAN MICHELE AL TAGLIAMENTO,VE,
31/05/56,SAN MICHELE AL TAGLIAMENTO,VE,
22/08/73,PORTOGRUARO,VE,
11/10/07,LATISANA,UD,
30/09/74,CORDENONS,PN,
12/03/64,MONTICELLI D'ONGINA,PC,
20/02/56,SAN MICHELE AL TAGLIAMENTO,VE,
22/01/82,LATISANA,UD,
22/01/82,LATISANA,UD,
22/01/82,LATISANA,UD,
07/05/60,PORTOGRUARO,VE,
14/09/82,ANDREIS,PN,
16/01/65,PORTOGRUARO,VE,
03/11/09,LATISANA,UD,
02/10/12,LATISANA,UD,
02/04/79,MILANO,MI,
02/04/79,MILANO,MI,
03/04/39,SAN MICHELE AL TAGLIAMENTO,VE,
08/12/65,SAN MICHELE AL TAGLIAMENTO,VE,
26/10/57,SAN MICHELE AL TAGLIAMENTO,VE,
25/07/94,VENEZIA,VE,
14/05/54,LAMON,BL,
01/05/78,LATISANA,UD,
01/05/78,LATISANA,UD,
04/10/71,LAMON,BL,
30/05/67,LATISANA,UD,
26/07/46,PORTOGRUARO,VE,
04/11/49,SAN MICHELE AL TAGLIAMENTO,VE,
05/07/72,LATISANA,UD,
11/09/78,LATISANA,UD,
19/11/70,PORTOGRUARO,VE,
07/05/33,SAN MICHELE AL TAGLIAMENTO,VE,
01/08/66,UDINE,UD,
20/02/75,UDINE,UD,
21/10/71,PORTOGRUARO,VE,
21/10/71,PORTOGRUARO,VE,
20/07/79,LATISANA,UD,
13/12/47,SAN MICHELE AL TAGLIAMENTO,VE,
30/08/78,AZZANO DECIMO,PN,
03/04/79,SAN VITO AL TAGLIAMENTO,PN,
28/12/61,SAN MICHELE AL TAGLIAMENTO,VE,
16/08/64,SAN VITO AL TAGLIAMENTO,PN,
07/04/37,SAN MICHELE AL TAGLIAMENTO,VE,
01/04/31,SAN MICHELE AL TAGLIAMENTO,VE,
22/01/66,SAN MICHELE AL TAGLIAMENTO,VE,
24/10/69,SAN MICHELE AL TAGLIAMENTO,VE,
20/07/35,SAN MICHELE AL TAGLIAMENTO,VE,
29/04/39,SAN MICHELE AL TAGLIAMENTO,VE,
12/07/60,SAN MICHELE AL TAGLIAMENTO,VE,
18/06/54,FOSSALTA DI PORTOGRUARO,VE,
19/09/30,SAN MICHELE AL TAGLIAMENTO,VE,
27/04/39,SAN MICHELE AL TAGLIAMENTO,VE,
24/11/42,SAN MICHELE AL TAGLIAMENTO,VE,
23/05/48,SAN MICHELE AL TAGLIAMENTO,VE,
07/07/69,SAN VITO AL TAGLIAMENTO,PN,
24/11/46,SAN MICHELE AL TAGLIAMENTO,VE,
21/03/68,LATISANA,UD,
02/03/74,LATISANA,UD,
22/11/32,SAN MICHELE AL TAGLIAMENTO,VE,
21/07/62,SAN MICHELE AL TAGLIAMENTO,VE,
26/09/78,FOSSALTA DI PORTOGRUARO,VE,
14/05/59,SAN MICHELE AL TAGLIAMENTO,VE,
11/03/82,LATISANA,UD,
31/03/76,SVIZZERA,,SVIZZERA
21/04/50,SAN MICHELE AL TAGLIAMENTO,VE,
07/09/71,WATTWIL,,SVIZZERA
