SESSO,DATA IMMIGRAZIONE,COMUNE DI PROVENIENZA,PROVINCIA DI PROVENIENZA,STATO DI PROVENIENZA
F,03-01-2000,CESSALTO,TV,ITALIA
M,08-01-2000,ROMA,RM,ITALIA
M,12-01-2000,TORRE DI MOSTO,VE,ITALIA
M,13-01-2000,VILLAPIANA,CS,ITALIA
M,20-01-2000,CORDENONS,PN,ITALIA
M,25-01-2000,CEGGIA,VE,ITALIA
M,29-01-2000,TORRE DI MOSTO,VE,ITALIA
F,29-01-2000,TORRE DI MOSTO,VE,ITALIA
M,31-01-2000,,,MACEDONIA DEL NORD
F,03-02-2000,CAORLE,VE,ITALIA
M,03-02-2000,CAORLE,VE,ITALIA
M,07-02-2000,MANIAGO,PN,ITALIA
M,07-02-2000,MANIAGO,PN,ITALIA
F,07-02-2000,MANIAGO,PN,ITALIA
F,19-02-2000,CEGGIA,VE,ITALIA
F,21-02-2000,CAORLE,VE,ITALIA
M,24-02-2000,PORTOGRUARO,VE,ITALIA
F,06-03-2000,MOTTA DI LIVENZA,TV,ITALIA
M,13-03-2000,TARANTO,TA,ITALIA
M,13-03-2000,TARANTO,TA,ITALIA
F,15-03-2000,PORTOGRUARO,VE,ITALIA
F,24-03-2000,MEOLO,VE,ITALIA
M,24-03-2000,MEOLO,VE,ITALIA
M,29-03-2000,PORDENONE,PN,ITALIA
F,29-03-2000,,,SVIZZERA
M,29-03-2000,,,SVIZZERA
F,30-03-2000,,,SVIZZERA
M,31-03-2000,CAORLE,VE,ITALIA
F,10-04-2000,TORRE DI MOSTO,VE,ITALIA
M,10-04-2000,TORRE DI MOSTO,VE,ITALIA
F,05-05-2000,ERACLEA,VE,ITALIA
F,06-05-2000,CAORLE,VE,ITALIA
F,06-05-2000,CAORLE,VE,ITALIA
F,10-05-2000,MILANO,MI,ITALIA
F,12-05-2000,ANNONE VENETO,VE,ITALIA
F,12-05-2000,ORSAGO,TV,ITALIA
F,20-05-2000,,,UCRAINA
F,24-05-2000,ERACLEA,VE,ITALIA
M,10-06-2000,SERLE,BS,ITALIA
F,14-06-2000,PONTE DI PIAVE,TV,ITALIA
F,16-06-2000,PORTOGRUARO,VE,ITALIA
M,16-06-2000,PORTOGRUARO,VE,ITALIA
F,16-06-2000,PORTOGRUARO,VE,ITALIA
F,23-06-2000,CONCORDIA SAGITTARIA,VE,ITALIA
F,26-07-2000,LORENZANA,PI,ITALIA
F,28-07-2000,CESSALTO,TV,ITALIA
F,28-07-2000,,,ESTERO
F,28-07-2000,CESSALTO,TV,ITALIA
M,28-07-2000,CESSALTO,TV,ITALIA
M,28-07-2000,CESSALTO,TV,ITALIA
M,28-07-2000,,,GERMANIA
F,02-08-2000,PUTIGNANO,BA,ITALIA
M,14-08-2000,MILANO,MI,ITALIA
F,17-08-2000,,,ALBANIA
M,17-08-2000,,,ALBANIA
F,18-08-2000,VENEZIA,VE,ITALIA
F,18-08-2000,VENEZIA,VE,ITALIA
M,19-08-2000,SEGRATE,MI,ITALIA
