Sesso,DataImmigrazione,LuogoProvenienza,Provincia,Stato
F,01/08/2013,ABANO TERME ,PD,ITALIA
M,20/05/2005,ACATE ,RG,ITALIA
M,27/10/2014,ACERRA ,NA,ITALIA
M,25/09/2002,ACERRA ,NA,ITALIA
M,15/03/2003,ACERRA ,NA,ITALIA
M,26/03/2018,ACERRA ,NA,ITALIA
F,24/02/2006,ACERRA ,NA,ITALIA
F,26/08/2008,ACERRA ,NA,ITALIA
F,06/09/2016,ACERRA ,NA,ITALIA
M,03/03/2005,ACI CATENA ,CT,ITALIA
M,22/05/2003,ACI SANT'ANTONIO ,CT,ITALIA
M,25/01/2012,ACIREALE ,CT,ITALIA
M,02/06/2000,ACIREALE ,CT,ITALIA
F,30/08/2000,ACIREALE ,CT,ITALIA
F,18/11/2002,ACIREALE ,CT,ITALIA
F,07/12/2013,ACIREALE ,CT,ITALIA
F,20/10/2010,ACQUAVIVA DELLE FONTI ,BA,ITALIA
M,04/10/2010,ACQUAVIVA DELLE FONTI ,BA,ITALIA
F,26/09/2007,ACQUAVIVA DELLE FONTI ,BA,ITALIA
M,05/12/2008,ACQUI TERME ,AL,ITALIA
F,05/12/2008,ACQUI TERME ,AL,ITALIA
M,29/10/2007,ADRANO ,CT,ITALIA
F,10/06/2004,ADRANO ,CT,ITALIA
M,10/06/2004,ADRANO ,CT,ITALIA
F,10/06/2004,ADRANO ,CT,ITALIA
M,03/10/2002,ADRIA ,RO,ITALIA
F,05/07/2016,ADRIA ,RO,ITALIA
M,21/09/2011,ADRIA ,RO,ITALIA
M,04/09/2020,AFGHANISTAN,,AFGHANISTAN
M,29/09/2005,AFRAGOLA ,NA,ITALIA
F,07/10/2003,AFRAGOLA ,NA,ITALIA
M,08/08/2008,AFRAGOLA ,NA,ITALIA
F,08/08/2008,AFRAGOLA ,NA,ITALIA
M,15/10/2015,AGEROLA ,NA,ITALIA
F,15/10/2015,AGEROLA ,NA,ITALIA
M,21/01/2002,AGRIGENTO ,AG,ITALIA
F,04/10/2002,AGRIGENTO ,AG,ITALIA
F,24/08/2002,AGRIGENTO ,AG,ITALIA
M,18/09/2012,AGRIGENTO ,AG,ITALIA
F,26/04/2013,AGRIGENTO ,AG,ITALIA
M,04/10/2002,AGRIGENTO ,AG,ITALIA
M,04/10/2002,AGRIGENTO ,AG,ITALIA
M,14/12/2002,AGRIGENTO ,AG,ITALIA
M,22/12/2003,AGRIGENTO ,AG,ITALIA
M,24/08/2002,AGRIGENTO ,AG,ITALIA
M,05/02/2008,AGRIGENTO ,AG,ITALIA
M,02/10/2017,AGRIGENTO ,AG,ITALIA
M,30/08/2007,AGRIGENTO ,AG,ITALIA
M,30/08/2017,AGRIGENTO ,AG,ITALIA
F,07/01/2019,AGRIGENTO ,AG,ITALIA
F,19/01/2013,AGRIGENTO ,AG,ITALIA
F,24/09/2014,AGROPOLI ,SA,ITALIA
M,10/09/2007,AGROPOLI ,SA,ITALIA
M,24/09/2007,AIELLO DEL FRIULI ,UD,ITALIA
F,07/06/2010,AIELLO DEL FRIULI ,UD,ITALIA
M,15/02/2012,AIELLO DEL SABATO ,AV,ITALIA
F,17/09/2008,AIROLA ,BN,ITALIA
M,05/04/2006,ALBANELLA ,SA,ITALIA
M,05/04/2006,ALBANELLA ,SA,ITALIA
F,05/04/2006,ALBANELLA ,SA,ITALIA
