COMUNE PROVENIENZA,STATO PROVENIENZA,PR PROVENIENZA,DATA
,MAROCCO,,2004-03-30
,MAROCCO,,2007-11-02
VENEZIA,ITALIA,VE,2014-01-21
VAZZOLA,ITALIA,TV,2000-11-16
MUSILE DI PIAVE,ITALIA,VE,2000-10-25
,ALBANIA,,2017-08-19
SAN DONÀ DI PIAVE,ITALIA,VE,2018-10-29
,ALBANIA,,2015-02-13
MUSILE DI PIAVE,ITALIA,VE,2006-09-19
MUSILE DI PIAVE,ITALIA,VE,2006-09-19
MUSILE DI PIAVE,ITALIA,VE,2006-09-19
,PAKISTAN,,2019-07-20
SAN DONÀ DI PIAVE,ITALIA,VE,2010-07-18
SAN DONÀ DI PIAVE,ITALIA,VE,2018-06-08
SAN DONÀ DI PIAVE,ITALIA,VE,2011-10-24
SAN DONÀ DI PIAVE,ITALIA,VE,2018-06-08
SAN DONÀ DI PIAVE,ITALIA,VE,2012-07-26
SAN DONÀ DI PIAVE,ITALIA,VE,2012-07-26
,ALBANIA,,2004-03-01
SAN DONÀ DI PIAVE,ITALIA,VE,2004-12-07
,ALBANIA,,2006-04-07
SAN DONÀ DI PIAVE,ITALIA,VE,2010-05-25
,BENIN,,2018-09-27
SAN DONÀ DI PIAVE,ITALIA,VE,2019-08-01
,MAROCCO,,2017-08-17
,BANGLADESH,,2004-10-06
CELLINO ATTANASIO,ITALIA,TE,2018-10-01
,ALBANIA,,2003-03-08
SAN DONÀ DI PIAVE,ITALIA,VE,2006-11-10
,ALBANIA,,2003-03-08
BARDONECCHIA,ITALIA,TO,2002-12-30
JESOLO,ITALIA,VE,2020-07-28
SAN DONÀ DI PIAVE,ITALIA,VE,2019-07-10
MIANE,ITALIA,TV,2018-03-24
MIANE,ITALIA,TV,2016-05-19
TORRE DI MOSTO,ITALIA,VE,2014-03-11
,CIRCOSCRIZIONE AUTONOMA,,2018-07-27
SAN DONÀ DI PIAVE,ITALIA,VE,2017-10-04
SAN DONÀ DI PIAVE,ITALIA,VE,2012-10-02
NOVENTA DI PIAVE,ITALIA,VE,2006-11-23
NOVENTA DI PIAVE,ITALIA,VE,2006-11-23
SAN DONÀ DI PIAVE,ITALIA,VE,2015-09-30
SAN DONÀ DI PIAVE,ITALIA,VE,2007-12-05
TREVISO,ITALIA,TV,2019-04-12
,GHANA,,2016-08-09
SAN DONÀ DI PIAVE,ITALIA,VE,2017-02-25
NOVENTA DI PIAVE,ITALIA,VE,2007-12-01
SAN DONÀ DI PIAVE,ITALIA,VE,2014-08-19
,BANGLADESH,,2014-05-23
JESOLO,ITALIA,VE,2014-12-06
ERCOLANO,ITALIA,NA,2013-02-15
SAN DONÀ DI PIAVE,ITALIA,VE,2004-01-31
PORDENONE,ITALIA,PN,2001-01-03
SAN DONÀ DI PIAVE,ITALIA,VE,2019-10-27
MONSELICE,ITALIA,PD,2001-04-21
PORTOGRUARO,ITALIA,VE,2006-04-01
SAN DONÀ DI PIAVE,ITALIA,VE,2006-10-03
PEDACE,ITALIA,CS,2006-06-03
JESOLO,ITALIA,VE,2018-08-22
SANTA MARIA CAPUA VETERE,ITALIA,CE,2015-09-07
MEOLO,ITALIA,VE,2008-11-13
JESOLO,ITALIA,VE,2020-09-28
ODERZO,ITALIA,TV,2006-03-21
SAN DONÀ DI PIAVE,ITALIA,VE,2012-06-18
,COLOMBIA,,2011-07-05
FOSSALTA DI PIAVE,ITALIA,VE,2009-12-04
,UNGHERIA,,2018-09-18
,ROMANIA,,2019-02-26
,ROMANIA,,2015-07-09
,MOLDOVA,,2007-06-29
ERACLEA,ITALIA,VE,2007-08-01
,BRASILE,,2009-04-18
ORIOLO,ITALIA,CS,2017-06-21
,NIGERIA,,2013-02-23
JELSI,ITALIA,CB,2020-11-18
SASSARI,ITALIA,SS,2020-02-29
MUSILE DI PIAVE,ITALIA,VE,2013-11-07
,MAROCCO,,2011-02-21
MEOLO,ITALIA,VE,2018-02-17
SAN DONÀ DI PIAVE,ITALIA,VE,2004-09-23
SAN DONÀ DI PIAVE,ITALIA,VE,2000-10-01
CEGGIA,ITALIA,VE,2019-09-06
,MAROCCO,,2008-06-28
,BANGLADESH,,2010-11-30
,BANGLADESH,,2014-05-23
MUSILE DI PIAVE,ITALIA,VE,2005-06-13
SAN DONÀ DI PIAVE,ITALIA,VE,2016-06-14
,AFGHANISTAN,,2019-12-18
VENEZIA,ITALIA,VE,2018-07-27
PADOVA,ITALIA,PD,2010-07-23
PADOVA,ITALIA,PD,2010-07-23
PADOVA,ITALIA,PD,2010-07-23
ODERZO,ITALIA,TV,2015-05-20
MUSILE DI PIAVE,ITALIA,VE,2007-12-27
NOVENTA DI PIAVE,ITALIA,VE,2017-11-06
NOVENTA DI PIAVE,ITALIA,VE,2017-11-06
JESOLO,ITALIA,VE,2003-12-22
JESOLO,ITALIA,VE,2003-12-22
SAN DONÀ DI PIAVE,ITALIA,VE,2011-12-22
CONCORDIA SAGITTARIA,ITALIA,VE,2007-01-31
CONCORDIA SAGITTARIA,ITALIA,VE,2003-03-05
SAN DONÀ DI PIAVE,ITALIA,VE,2009-11-02
SAN DONÀ DI PIAVE,ITALIA,VE,2011-04-02
PRATO,ITALIA,PO,2007-05-26
,ALBANIA,,2004-11-16
,ALBANIA,,2014-02-11
SAN DONÀ DI PIAVE,ITALIA,VE,2008-07-15
,ALBANIA,,2007-11-10
MONTECCHIO MAGGIORE,ITALIA,VI,2005-06-16
ERACLEA,ITALIA,VE,2014-05-06
SAN DONÀ DI PIAVE,ITALIA,VE,2019-07-04
MUSILE DI PIAVE,ITALIA,VE,2002-04-24
CEGGIA,ITALIA,VE,2020-04-23
TORRE DI MOSTO,ITALIA,VE,2011-11-29
MUSILE DI PIAVE,ITALIA,VE,2002-04-24
CEGGIA,ITALIA,VE,2020-04-23
SAN DONÀ DI PIAVE,ITALIA,VE,2012-05-17
JESOLO,ITALIA,VE,2016-01-14
NOVENTA DI PIAVE,ITALIA,VE,2006-10-26
SAN DONÀ DI PIAVE,ITALIA,VE,2009-09-09
CEGGIA,ITALIA,VE,2012-06-12
MUSILE DI PIAVE,ITALIA,VE,2007-04-28
MEOLO,ITALIA,VE,2011-04-18
MUSILE DI PIAVE,ITALIA,VE,2018-12-24
SAN DONÀ DI PIAVE,ITALIA,VE,2001-11-01
VENEZIA,ITALIA,VE,2016-07-25
ERACLEA,ITALIA,VE,2004-01-31
CAORLE,ITALIA,VE,2010-02-09
PADOVA,ITALIA,PD,2018-04-16
,NIGERIA,,2017-11-14
,COLOMBIA,,2005-01-25
CEGGIA,ITALIA,VE,2020-09-11
MARTELLAGO,ITALIA,VE,2002-10-26
,COLOMBIA,,2011-01-25
,COLOMBIA,,2005-06-27
SAN DONÀ DI PIAVE,ITALIA,VE,2020-06-03
,BANGLADESH,,2019-07-08
,BANGLADESH,,2019-07-08
NOVENTA DI PIAVE,ITALIA,VE,2019-03-11
,BANGLADESH,,2011-04-08
,UCRAINA,,2003-06-09
,NIGERIA,,2000-05-16
,BANGLADESH,,2020-06-16
,BANGLADESH,,2020-06-16
MUSILE DI PIAVE,ITALIA,VE,2019-02-02
,PAKISTAN,,2019-05-28
,AFGHANISTAN,,2016-11-22
CEGGIA,ITALIA,VE,2011-12-14
SAN DONÀ DI PIAVE,ITALIA,VE,2017-02-03
JESOLO,ITALIA,VE,2008-07-26
CEGGIA,ITALIA,VE,2017-03-06
,BANGLADESH,,2004-10-09
